[2025-04-30 22:06:36,247] INFO in app: Logging setup complete!
'FLASK_ENV' is deprecated and will not be used in Flask 2.3. Use 'FLASK_DEBUG' instead.
 * Debugger is active!
 * Debugger PIN: 143-597-879
 * Detected change in '/home/pi/webapp/app.py', reloading
30 22:07:00,937 - Logging setup complete!
2025-05-01 20:50:00,804 - Audio Monitor - RMS: 0.48051710501344175 dB, Peak: 0.685069911687272 dB
2025-05-01 20:50:00,904 - Audio Monitor - RMS: 0.4477124651109364 dB, Peak: 0.6346149289312476 dB
2025-05-01 20:50:01,005 - Audio Monitor - RMS: 0.9547093353158029 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:01,104 - Audio Monitor - RMS: 0.9492174748225994 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:01,204 - Audio Monitor - RMS: 0.9487495896297173 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:01,305 - Audio Monitor - RMS: 0.9286928120206036 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:01,407 - Audio Monitor - RMS: 0.9427498787334646 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:01,504 - Audio Monitor - RMS: 0.6864880357089708 dB, Peak: 0.9413802057694408 dB
2025-05-01 20:50:01,604 - Audio Monitor - RMS: 0.9561398453584535 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:01,704 - Audio Monitor - RMS: 0.7635185850489709 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:01,805 - Audio Monitor - RMS: 0.9414443520054825 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:01,904 - Audio Monitor - RMS: 0.9511122586831192 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:02,004 - Audio Monitor - RMS: 0.9492307788108171 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:02,104 - Audio Monitor - RMS: 0.7602606692744355 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:02,204 - Audio Monitor - RMS: 0.957725656088816 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:02,304 - Audio Monitor - RMS: 0.9625529637182184 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:02,404 - Audio Monitor - RMS: 0.9177944435363463 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:02,504 - Audio Monitor - RMS: 0.5416312345517327 dB, Peak: 0.7084100727726491 dB
2025-05-01 20:50:02,608 - Audio Monitor - RMS: 0.4792675731399053 dB, Peak: 0.714568448660304 dB
2025-05-01 20:50:02,704 - Audio Monitor - RMS: 0.4523773829110996 dB, Peak: 0.6615497523186683 dB
2025-05-01 20:50:02,804 - Audio Monitor - RMS: 0.8428272708252007 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:02,904 - Audio Monitor - RMS: 0.9534199280094668 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:03,004 - Audio Monitor - RMS: 0.9556899582881044 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:03,104 - Audio Monitor - RMS: 0.8971862845006061 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:03,204 - Audio Monitor - RMS: 0.7919994014154635 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:03,305 - Audio Monitor - RMS: 0.8849589013990583 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:03,409 - Audio Monitor - RMS: 0.9339159462129049 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:03,504 - Audio Monitor - RMS: 0.9266480298349411 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:03,604 - Audio Monitor - RMS: 0.9192801741703435 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:03,704 - Audio Monitor - RMS: 0.9536102724631476 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:03,804 - Audio Monitor - RMS: 0.9542086184787322 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:03,904 - Audio Monitor - RMS: 0.8220802489633355 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:04,004 - Audio Monitor - RMS: 0.8852274429934506 dB, Peak: 0.9999955820606604 dB
